SUZLON ENERGY,15,2.67%,70.75cr,4.76cr
GMR INFRASTRUCTURE,19.55,0.00%,130.65cr,6.57cr
JAIPRAKASH ASSOCIATE,19.75,7.34%,199.42cr,10.10cr
RELIANCE COMM.,21.33,30.78%,"1,098.23cr",55.99cr
IFCI LTD.,27.7,1.65%,61.53cr,2.22cr
NHPC LTD.,31.65,4.28%,68.55cr,2.18cr
ADANI POWER,39.25,1.42%,52.30cr,1.33cr
HIND CONSTRUCTIONS,41.9,-0.48%,56.29cr,1.33cr
RELIANCE POWER,43.15,3.85%,65.27cr,1.53cr
RELIANCE DEFENCE,45.6,5.68%,56.68cr,1.27cr
DB REALTY,55.1,5.15%,73.82cr,1.34cr
HCL INFOSYSTEMS,57.7,5.68%,99.12cr,1.75cr
HDIL,59.1,1.98%,143.05cr,2.43cr
IDFC LTD.,60.4,-0.90%,27.04cr,44.59lk
TV18 BROADCAST,62,1.56%,71.59cr,1.16cr
RELIGARE ENTERPRISES,72.1,-4.82%,49.23cr,66.82lk
FUTURE CONSUMER,78.05,2.43%,90.22cr,1.16cr
DISH TV INDIA,80.25,-0.43%,46.08cr,57.22lk
SYNDICATE BANK,81.9,-3.08%,41.38cr,50.46lk
NATIONAL ALUMINIUM,82.55,0.55%,49.81cr,60.15lk
SAIL,90.4,5.79%,269.52cr,3.02cr
JSW ENERGY,91.45,2.58%,152.23cr,1.69cr
HINDUSTAN COPPER,93,-0.64%,36.40cr,38.85lk
BHEL,93.05,0.92%,102.40cr,1.10cr
TATA POWER,93.3,0.27%,89.14cr,95.10lk
RCF,93.55,-0.58%,44.01cr,46.66lk
IDEA CELLULAR,101.75,1.09%,84.84cr,83.79lk
THE FEDERAL BANK,109.55,1.81%,47.80cr,43.85lk
KWALITY,110.75,4.83%,31.19cr,28.65lk
PTC INDIA,117.05,-0.26%,40.20cr,34.26lk
MANAPPURAM FINANCE,117.2,0.39%,98.04cr,83.38lk
ASHOK LEYLAND,119.4,1.62%,110.19cr,92.46lk
POWER FINANCE CORP.,122.25,1.03%,84.63cr,69.20lk
JAIN IRRIGATION,128,1.23%,104.40cr,81.23lk
GREAVES COTTON,133.85,2.33%,48.84cr,36.52lk
JINDAL SAW,133.95,5.93%,79.37cr,60.39lk
NCC LTD.,134.65,1.74%,75.43cr,56.04lk
GRANULES INDIA,137.35,3.86%,69.53cr,50.98lk
