GVK POWER & INFRA.,18.35,0.85,(+4.86%),18.35,18.35,0,0,0,
BHEL,93.05,0.85,(+0.92%),94.8,92.85,1.75,0.2,1.95,
SHREE RENUKA SUGARS,16.75,0.1,(+0.60%),17,16.5,0.25,0.25,0.5,
PTC INDIA FIN. SER.,36.85,0.3,(+0.82%),37,36.6,0.15,0.25,0.4,
JAIPRAKASH POWER,7.21,0.24,(+3.44%),7.39,6.95,0.18,0.26,0.44,
BHUSHAN STEEL,63,0.6,(+0.96%),64.35,62.7,1.35,0.3,1.65,
BALLARPUR IND.,15.97,0.26,(+1.65%),16.2,15.66,0.23,0.31,0.54,
SUZLON ENERGY,15,0.39,(+2.67%),15.1,14.65,0.1,0.35,0.45,
CORPORATION BANK,40.35,0.45,(+1.13%),41.5,40,1.15,0.35,1.5,
MAHANAGAR TELEPHONE,24.85,0.25,(+1.02%),25.35,24.5,0.5,0.35,0.85,
ADANI POWER,39.25,0.55,(+1.42%),39.5,38.9,0.25,0.35,0.6,
NATIONAL ALUMINIUM,82.55,0.45,(+0.55%),83.55,82.15,1,0.4,1.4,
SJVN LTD.,33.9,0.5,(+1.50%),34,33.5,0.1,0.4,0.5,
TRIDENT,91.9,0.65,(+0.71%),94.5,91.45,2.6,0.45,3.05,
IFCI LTD.,27.7,0.45,(+1.65%),28.25,26.85,0.55,0.85,1.4,
SNOWMAN LOGISTICS,58.4,1.15,(+2.01%),59.25,57.45,0.85,0.95,1.8,
FUTURE CONSUMER,78.05,1.85,(+2.43%),78.6,77,0.55,1.05,1.6,
NHPC LTD.,31.65,1.3,(+4.28%),32.05,30.6,0.4,1.05,1.45,
HDIL,59.1,1.15,(+1.98%),59.7,58,0.6,1.1,1.7,
EIH LTD.,148,1.5,(+1.02%),151.7,146.8,3.7,1.2,4.9,
JINDAL STAINLESS,109.2,1.3,(+1.20%),111.15,107.9,1.95,1.3,3.25,
TV18 BROADCAST,62,0.95,(+1.56%),62.2,60.7,0.2,1.3,1.5,
JAIPRAKASH ASSOCIATE,19.75,1.35,(+7.34%),20.35,18.45,0.6,1.3,1.9,
IDBI BANK,60.4,0.85,(+1.43%),60.95,59.05,0.55,1.35,1.9,
ASHOK LEYLAND,119.4,1.9,(+1.62%),120.25,118,0.85,1.4,2.25,
POWER FINANCE CORP.,122.25,1.25,(+1.03%),123.25,120.7,1,1.55,2.55,
JAIN IRRIGATION,128,1.55,(+1.23%),130,126.4,2,1.6,3.6,
RELIANCE POWER,43.15,1.6,(+3.85%),43.6,41.55,0.45,1.6,2.05,
BLUE STAR,802.1,5.7,(+0.72%),810,800.5,7.9,1.6,9.5,
WELSPUN CORP,141.9,5.35,(+3.92%),155,140.1,13.1,1.8,14.9,
PETRONET LNG,254.2,2,(+0.79%),255,252.2,0.8,2,2.8,
V-GUARD INDUSTRIES,240.45,2.3,(+0.97%),244,238.4,3.55,2.05,5.6,
IDEA CELLULAR,101.75,1.1,(+1.09%),102.3,99.7,0.55,2.05,2.6,
SUNDRAM FASTENERS,584.95,3.7,(+0.64%),592,582.9,7.05,2.05,9.1,
THE FEDERAL BANK,109.55,1.95,(+1.81%),110.05,107.45,0.5,2.1,2.6,
THYROCARE TECHNOLOGIES,694.2,6.85,(+1.00%),700,692.1,5.8,2.1,7.9,
UNICHEM LABS,321.5,6,(+1.90%),328.5,319.3,7,2.2,9.2,
CROMPTON CONS ELEC,268.75,1.9,(+0.71%),272,266.5,3.25,2.25,5.5,
STAR CEMENT,128.5,1.1,(+0.86%),130.2,126.2,1.7,2.3,4,
ABAN OFFSHORE,198.9,4.8,(+2.47%),203.7,196.5,4.8,2.4,7.2,
NATIONAL FERTILIZERS,69.75,2.55,(+3.79%),70.7,67.35,0.95,2.4,3.35,
SCHNEIDER ELECTRIC,127.4,1.35,(+1.07%),128,125,0.6,2.4,3,
L&T FIN. HOLDINGS,179.7,1.25,(+0.70%),180.05,177.25,0.35,2.45,2.8,
INFIBEAM,165.45,2.35,(+1.44%),169.55,162.95,4.1,2.5,6.6,
THOMAS COOK (INDIA),248.35,3.4,(+1.39%),252,245.85,3.65,2.5,6.15,
REC,157.75,1.2,(+0.77%),158.15,155.25,0.4,2.5,2.9,
TATA COFFEE,166.75,2.3,(+1.40%),168.5,164.2,1.75,2.55,4.3,
THE INDIA CEMENTS,184.85,1.7,(+0.93%),186.5,182.25,1.65,2.6,4.25,
JSW ENERGY,91.45,2.3,(+2.58%),91.8,88.85,0.35,2.6,2.95,
TEXMACO RAIL,113.65,2.4,(+2.16%),114.3,111,0.65,2.65,3.3,
JK TYRE & IND.,147,1.5,(+1.03%),148.5,144.3,1.5,2.7,4.2,
GREAVES COTTON,133.85,3.05,(+2.33%),134.95,131.1,1.1,2.75,3.85,
CAN FIN HOMES,498.4,2.75,(+0.55%),504.45,495.6,6.05,2.8,8.85,
DEEPAK FERTILISERS,395.9,3.75,(+0.96%),397.8,393,1.9,2.9,4.8,
IL&FS TRANSPORTATION,85.5,2.2,(+2.64%),86.7,82.55,1.2,2.95,4.15,
MAX INDIA,127,1.2,(+0.95%),127.6,124.05,0.6,2.95,3.55,
DB REALTY,55.1,2.7,(+5.15%),57.6,52.1,2.5,3,5.5,
NCC LTD.,134.65,2.3,(+1.74%),136.1,131.65,1.45,3,4.45,
OMAXE,231.8,3.45,(+1.51%),231.8,228.7,0,3.1,3.1,
GSFC,152.7,2.5,(+1.66%),153.5,149.55,0.8,3.15,3.95,
BGR ENERGY SYSTEMS,138.8,2.6,(+1.91%),139.8,135.65,1,3.15,4.15,
CHAMBAL FERTILISERS,148.1,1.75,(+1.20%),152.8,144.9,4.7,3.2,7.9,
GAIL (INDIA),509.45,6.55,(+1.30%),513.7,506.1,4.25,3.35,7.6,
RELIANCE DEFENCE,45.6,2.45,(+5.68%),46,42.15,0.4,3.45,3.85,
TATA MOTORS - DVR,241.85,1.45,(+0.60%),242.45,238.3,0.6,3.55,4.15,
JSW STEEL,267.45,3.15,(+1.19%),268.35,263.85,0.9,3.6,4.5,
MOIL LTD.,240.8,1.8,(+0.75%),242.55,237,1.75,3.8,5.55,
HCL INFOSYSTEMS,57.7,3.1,(+5.68%),58.5,53.85,0.8,3.85,4.65,
SWAN ENERGY,189.05,3.85,(+2.08%),194,185.1,4.95,3.95,8.9,
JAGRAN PRAKASHAN,178,7.2,(+4.22%),179.25,174,1.25,4,5.25,
SUVEN LIFE SCIENCES,195.9,4.6,(+2.40%),196.8,191.8,0.9,4.1,5,
VEDANTA,321.6,5.3,(+1.68%),322.5,317.5,0.9,4.1,5,
MRPL,130.6,2.7,(+2.11%),131.5,126.45,0.9,4.15,5.05,
GATI LTD.,140.8,3.15,(+2.29%),143.65,136.5,2.85,4.3,7.15,
SAIL,90.4,4.95,(+5.79%),90.75,86,0.35,4.4,4.75,
DB CORP,344.75,4.45,(+1.31%),352,340.3,7.25,4.45,11.7,
RAMCO SYSTEMS,533.5,2.85,(+0.54%),544,529,10.5,4.5,15,
WIPRO,303.25,2.15,(+0.71%),306,298.75,2.75,4.5,7.25,
KOLTE PATIL DEVELOP,358.8,3.8,(+1.07%),369.8,354.05,11,4.75,15.75,
CADILA HEALTHCARE,427.55,3.75,(+0.88%),431,422.8,3.45,4.75,8.2,
GODREJ INDUSTRIES,608.75,5.8,(+0.96%),612,604,3.25,4.75,8,
TATA SPONGE IRON,944.55,5.9,(+0.63%),949.95,939.75,5.4,4.8,10.2,
RELIANCE COMM.,21.33,5.02,(+30.78%),23,16.5,1.67,4.83,6.5,
GRANULES INDIA,137.35,5.1,(+3.86%),138,132.4,0.65,4.95,5.6,
APOLLO TYRES,266,1.4,(+0.53%),269.5,261,3.5,5,8.5,
CANARA BANK,372,2.05,(+0.55%),375.35,367,3.35,5,8.35,
TATA GLOBAL BEVERAGE,305.65,3.25,(+1.07%),307.45,300.65,1.8,5,6.8,
JINDAL HISAR,231.4,1.5,(+0.65%),238,226.3,6.6,5.1,11.7,
