Company,Last Price,chg,%chg,Day High,Day Low
,,,,,
TV TODAY NETWORK,442.85,-23.20,(-4.98%),463.80,438.60
BOMBAY RAYON FASHION,145.25,-7.60,(-4.97%),145.25,145.25
RELIGARE ENTERPRISES,72.10,-3.65,(-4.82%),76.75,72.00
DEN NETWORKS,106.30,-3.85,(-3.50%),111.90,104.80
ADANI TRANSMISSION,227.50,-8.10,(-3.44%),238.00,223.35
SYNDICATE BANK,81.90,-2.60,(-3.08%),83.90,81.35
GUJARAT ALKALIES,720.55,-19.95,(-2.69%),779.95,718.20
KEC INTERNATIONAL,368.20,-10.15,(-2.68%),378.35,367.00
SYMPHONY,1744.00,-44.75,(-2.50%),1790.00,1740.00
AIA ENGINEERING,1584.05,-40.30,(-2.48%),1639.95,1584.05
INDO COUNT IND.,118.30,-2.75,(-2.27%),122.00,118.20
BRIGADE ENTERPRISES,313.00,-6.85,(-2.14%),323.50,311.65
MOTILAL OSWAL,1499.25,-31.75,(-2.07%),1541.60,1493.10
PIDILITE INDUSTRIES,926.10,-19.05,(-2.02%),972.00,915.00
ADITYA BIRLA FASHION,173.00,-3.55,(-2.01%),178.05,172.00
HFCL,29.90,-0.60,(-1.97%),30.40,29.50
SANOFI INDIA,4625.00,-93.10,(-1.97%),4732.00,4625.00
MANPASAND BEVERAGES,430.00,-8.20,(-1.87%),438.20,430.00
MAGMA FINCORP,162.50,-3.00,(-1.81%),165.65,161.75
MINDA INDUSTRIES,1290.00,-23.35,(-1.78%),1321.75,1281.00
IFB INDUSTRIES,1372.00,-24.60,(-1.76%),1396.00,1366.00
FINOLEX CABLES,696.30,-12.40,(-1.75%),719.00,690.00
HEIDELBERG CEMENT,154.90,-2.75,(-1.74%),158.00,154.25
NIIT TECHNOLOGIES,632.00,-10.80,(-1.68%),643.60,631.10
PVR LTD.,1416.05,-24.20,(-1.68%),1457.60,1407.35
CASTROL INDIA,198.15,-3.20,(-1.59%),202.95,197.65
JM FINANCIAL,150.00,-2.40,(-1.57%),153.55,149.80
UNITECH,7.50,-0.12,(-1.57%),7.85,7.41
LARSEN & TOUBRO INFOTECH,1055.45,-16.80,(-1.57%),1082.05,1045.15
NETWORK 18 MEDIA,59.35,-0.90,(-1.49%),61.30,58.70
BALKRISHNA IND.,1190.20,-17.85,(-1.48%),1224.90,1186.00
DALMIA BHARAT,3228.60,-48.20,(-1.47%),3280.00,3218.05
EMAMI,1294.00,-19.20,(-1.46%),1313.00,1294.00
VESUVIUS INDIA,1280.00,-18.75,(-1.44%),1333.95,1280.00
DREDGING CORPORATION,676.85,-9.55,(-1.39%),689.40,675.00
LAURUS LABS,544.80,-7.55,(-1.37%),558.90,543.15
HATHWAY CABLE,40.70,-0.55,(-1.33%),41.40,40.65
KARUR VYSYA BANK,121.40,-1.60,(-1.30%),125.00,121.00
ITI LTD.,137.25,-1.80,(-1.29%),140.25,136.50
BALRAMPUR CHINI,137.60,-1.80,(-1.29%),141.30,137.00
L&T TECHNOLOGY SERV.,975.00,-12.30,(-1.25%),996.40,967.15
ENGINEERS INDIA,202.55,-2.45,(-1.20%),206.20,201.70
IPCA LABORATORIES,593.00,-7.10,(-1.18%),605.00,592.45
NTPC LTD.,177.75,-2.05,(-1.14%),180.50,176.80
AKZO NOBEL INDIA,1785.00,-20.60,(-1.14%),1810.20,1785.00
CERA SANITARYWARE,3732.00,-42.15,(-1.12%),3828.00,3732.00
PRISM CEMENT,115.15,-1.30,(-1.12%),117.35,115.00
CRISIL,1854.00,-20.75,(-1.11%),1875.00,1851.80
INOX LEISURE,288.80,-3.20,(-1.10%),292.00,283.00
BHARAT ELECTRONICS,186.50,-2.05,(-1.09%),189.50,186.00
RAMKRISHNA FORGINGS,834.40,-8.95,(-1.06%),848.15,820.00
ALLAHABAD BANK,76.35,-0.80,(-1.04%),77.70,75.30
TECHNO ELECTRIC,400.65,-4.20,(-1.04%),409.55,396.05
KPIT TECHNOLOGIES,170.70,-1.80,(-1.04%),173.10,170.00
VINATI ORGANICS,1015.00,-10.35,(-1.01%),1047.00,1015.00
DR LAL PATHLABS,871.60,-8.90,(-1.01%),886.25,870.00
NBCC,251.40,-2.55,(-1.00%),257.30,245.00
VIJAYA BANK,70.15,-0.70,(-0.99%),71.10,69.85
SHOPPERS STOP,556.00,-5.55,(-0.99%),568.00,555.00
ANDHRA BANK,60.65,-0.60,(-0.98%),61.25,60.30
CHENNAI PETROLEUM,432.40,-4.30,(-0.98%),439.60,429.55
EQUITAS HOLDINGS,142.40,-1.40,(-0.97%),145.20,142.00
JK LAKSHMI CEMENT,441.65,-4.30,(-0.96%),446.35,438.00
INDIAN BANK,387.55,-3.70,(-0.95%),392.00,386.00
DCM SHRIRAM,577.70,-5.55,(-0.95%),595.15,572.85
8K MILES SOFTWARE,897.80,-8.60,(-0.95%),915.65,891.30
SBI,316.85,-3.00,(-0.94%),319.75,316.35
PUNJAB NATIONAL BANK,174.25,-1.65,(-0.94%),176.05,172.55
JBF INDUSTRIES,237.55,-2.25,(-0.94%),245.00,233.35
KPR MILL,772.10,-7.25,(-0.93%),787.85,772.00
ESSEL PROPACK,288.40,-2.70,(-0.93%),292.00,286.00
GODREJ CONSUMER,978.20,-9.05,(-0.92%),985.65,975.60
IDFC LTD.,60.40,-0.55,(-0.90%),61.50,60.20
INDIABULLS VENTURES,266.30,-2.40,(-0.89%),271.60,265.70
EDELWEISS FIN. SER.,290.90,-2.60,(-0.89%),294.70,289.45
REPCO HOME FINANCE,678.00,-6.10,(-0.89%),692.00,674.75
COAL INDIA,263.65,-2.35,(-0.88%),266.60,263.20
VIDEOCON INDUSTRIES,17.25,-0.15,(-0.86%),18.25,16.65
SUDARSHAN CHEMICAL,376.10,-3.25,(-0.86%),384.00,375.00
VIP INDUSTRIES,349.90,-2.95,(-0.84%),356.45,348.00
ITDC,524.50,-4.45,(-0.84%),533.80,517.00
BANK OF BARODA,166.60,-1.35,(-0.80%),167.95,165.50
MPHASIS,730.00,-5.90,(-0.80%),741.00,721.05
ORIENTAL BANK,124.15,-0.95,(-0.76%),125.80,123.20
PRAJ INDUSTRIES,110.45,-0.85,(-0.76%),113.30,109.70
MARKSANS PHARMA,39.05,-0.30,(-0.76%),39.60,38.65
PNB HOUSING FINANCE,1337.70,-10.15,(-0.75%),1348.00,1333.05
MAX FIN. SER.,586.30,-4.40,(-0.74%),598.80,584.00
AJANTA PHARMA,1467.20,-10.70,(-0.72%),1490.00,1455.00
J KUMAR INFRAPROJECT,317.00,-2.30,(-0.72%),322.45,316.00
SHARDA CROPCHEM,461.25,-3.30,(-0.71%),467.95,449.10
