Company,Last Price,%chg,Traded Val,Volume
,,,,
RELIANCE COMM.,28.74,+34.74%,"2,399.34cr",87.46cr
SUN PHARMA,577.70,+6.89%,"1,419.02cr",2.49cr
BAJAJ HOLDINGS,2925.00,-1.49%,"1,385.70cr",46.36lk
BAJAJ AUTO,3335.45,-0.82%,745.54cr,22.24lk
WOCKHARDT,891.80,+2.74%,701.90cr,76.90lk
BAJAJ FINSERV,5319.85,-1.55%,651.55cr,12.13lk
JET AIRWAYS (INDIA),808.65,-1.79%,611.75cr,74.88lk
SBI,314.15,-0.85%,520.62cr,1.65cr
RELIANCE,922.30,-0.61%,441.16cr,47.42lk
MARUTI SUZUKI,9647.15,-0.25%,412.79cr,4.26lk
RELIANCE INFRA.,534.25,-1.16%,392.67cr,72.74lk
INFOSYS,1034.05,-0.03%,381.16cr,36.86lk
AUROBINDO PHAR.,690.70,+0.99%,343.75cr,49.56lk
BHARTI AIRTEL,534.00,-1.62%,342.72cr,63.46lk
LUPIN,875.00,+0.33%,339.32cr,38.66lk
VEDANTA,326.15,+1.41%,313.06cr,96.32lk
JUST DIAL,526.10,+0.37%,303.71cr,57.04lk
YES BANK,315.20,-0.08%,294.44cr,93.02lk
TATA STEEL,721.80,+0.06%,277.97cr,38.33lk
PUNJAB NATIONAL BANK,173.90,-0.20%,275.95cr,1.58cr
MAHINDRA CIE,250.25,-3.79%,269.20cr,1.06cr
JAIPRAKASH ASSOCIATE,21.35,+8.10%,266.76cr,12.71cr
DLF LTD.,245.20,-3.45%,255.77cr,1.02cr
AXIS BANK,552.00,-0.42%,237.64cr,42.79lk
SAIL,91.10,+0.77%,232.14cr,2.54cr
CEAT LTD.,1946.00,-2.86%,226.18cr,11.54lk
L&T,1258.60,-0.87%,221.38cr,17.51lk
FORTIS HEALTHCARE,158.00,+4.98%,220.82cr,1.42cr
ICICI BANK,312.65,-1.53%,210.19cr,66.77lk
GAIL (INDIA),508.15,-0.26%,202.57cr,39.73lk
JINDAL STEEL & POWER,194.55,+1.01%,199.98cr,1.03cr
HINDUSTAN COPPER,96.20,+3.44%,199.25cr,2.05cr
M&M,747.00,+0.77%,198.39cr,26.54lk
DIVIS LABORATORIES,1125.30,+3.56%,195.05cr,17.32lk
RALLIS INDIA,268.75,+4.31%,189.37cr,68.56lk
DR. REDDYS LABS,2400.55,+1.71%,184.46cr,7.68lk
ADANI PORTS,403.55,-0.16%,180.06cr,44.54lk
MANAPPURAM FINANCE,118.50,+1.11%,176.46cr,1.48cr
HINDALCO,265.80,-0.86%,176.01cr,65.93lk
COAL INDIA,262.55,-0.42%,174.06cr,66.21lk
HDFC,1703.00,-0.36%,171.87cr,10.06lk
HDFC BANK,1857.85,-0.42%,170.64cr,9.16lk
INDIABULLS REAL,222.20,-2.57%,170.24cr,75.92lk
ADANI ENTERPRISES,165.35,+1.50%,167.26cr,1.00cr
ITC LTD.,262.35,-0.63%,166.71cr,63.40lk
