UNITECH,7.35,-0.15,(-2.00%),7.7,7.31
RATTANINDIA POWER,8.44,-0.18,(-2.09%),8.7,8.37
BAJAJ HINDUSTHAN,14.55,-0.15,(-1.02%),14.8,14.5
BALLARPUR IND.,15.84,-0.13,(-0.81%),16.32,15.54
SHREE RENUKA SUGARS,16.25,-0.5,(-2.99%),16.85,16.15
GVK POWER & INFRA.,18.15,-0.2,(-1.09%),19.25,17.6
GMR INFRASTRUCTURE,19.1,-0.45,(-2.30%),20,18.95
MAHANAGAR TELEPHONE,24.05,-0.8,(-3.22%),25.05,23.9
HFCL,28.8,-1.1,(-3.68%),30.8,28.35
SOUTH INDIAN BANK,31.3,-0.3,(-0.95%),31.95,31.3
HATHWAY CABLE,40.55,-0.35,(-0.86%),41.4,40.05
HIND CONSTRUCTIONS,40.9,-1,(-2.39%),42.6,40.25
ZEE LEARN,44.6,-0.6,(-1.33%),45.4,44.55
DB REALTY,51.95,-3.15,(-5.72%),55.9,50.65
HCL INFOSYSTEMS,56.5,-1.2,(-2.08%),59,55.7
SNOWMAN LOGISTICS,56.8,-1.6,(-2.74%),58.65,56.35
HDIL,57.15,-1.95,(-3.30%),59.2,56.55
IDBI BANK,59.95,-0.45,(-0.75%),60.95,59.75
ANDHRA BANK,60.1,-0.55,(-0.91%),61.35,59.85
TV18 BROADCAST,60.55,-1.45,(-2.34%),62.3,60.25
BHUSHAN STEEL,62.3,-0.7,(-1.11%),64,62.25
NATIONAL FERTILIZERS,68.05,-1.7,(-2.44%),71,67.35
RELIGARE ENTERPRISES,69.45,-2.65,(-3.68%),73.55,68.75
WELSPUN INDIA,73.1,-2.65,(-3.50%),76.15,72.65
ALLAHABAD BANK,75.7,-0.65,(-0.85%),77.05,75.4
FUTURE CONSUMER,76.95,-1.1,(-1.41%),79.45,76.25
J & K BANK,77.6,-0.55,(-0.70%),79,77
SYNDICATE BANK,80.55,-1.3,(-1.59%),82.2,80.25
NATIONAL ALUMINIUM,81.4,-1.15,(-1.39%),84.35,81.05
IL&FS TRANSPORTATION,82.15,-3.35,(-3.92%),86.25,81.2
TRIDENT,88.4,-3.6,(-3.91%),92.8,87.5
JSW ENERGY,89.5,-1.95,(-2.13%),91.9,89.1
TATA POWER,92.3,-1,(-1.07%),94.3,91.7
SREI INFRA. FINANCE,99.3,-1.5,(-1.49%),101.45,98
DEN NETWORKS,104.85,-1.45,(-1.36%),108.7,103.6
JINDAL STAINLESS,107.65,-1.55,(-1.42%),111.85,107
PRAJ INDUSTRIES,108.3,-2.15,(-1.95%),111.9,106.7
TEXMACO RAIL,111.8,-1.85,(-1.63%),114.85,111.15
PRISM CEMENT,114.25,-0.9,(-0.78%),116.45,113.6
THE INDIAN HOTELS,118.3,-1.5,(-1.25%),120.95,118.05
ASHOK LEYLAND,118.55,-0.85,(-0.71%),120.25,117.5
ORIENTAL BANK,123.15,-1,(-0.81%),125.9,122.5
JAIN IRRIGATION,127.3,-1.2,(-0.93%),128.5,125.8
MRPL,127.9,-2.7,(-2.07%),131.8,127
NCC LTD.,132.1,-2.55,(-1.89%),135.05,131.2
BGR ENERGY SYSTEMS,135.15,-3.3,(-2.38%),139.2,135.15
BALRAMPUR CHINI,135.15,-2.45,(-1.78%),139.5,133.6
