JAIPRAKASH POWER,7.94,0.66,(+9.07%),8.23,7.35
UNITECH,8.16,0.81,(+11.02%),8.45,7.33
BALLARPUR IND.,16.81,0.97,(+6.12%),17.6,15.5
UNITED BANK OF INDIA,18.45,0.95,(+5.43%),18.9,17.5
VIDEOCON INDUSTRIES,18.95,0.9,(+4.99%),18.95,18
GMR INFRASTRUCTURE,20.25,1.15,(+6.02%),20.8,19.1
INDIAN OVERSEAS BANK,22.65,0.25,(+1.12%),22.9,22.4
JAIPRAKASH ASSOCIATE,23.2,1.85,(+8.67%),23.85,21.3
MAHANAGAR TELEPHONE,25,0.95,(+3.95%),25.85,24.5
DENA BANK,25.35,0.55,(+2.22%),25.85,24.8
IFCI LTD.,28.6,0.85,(+3.06%),29.4,27.75
RELIANCE COMM.,30.96,2.22,(+7.72%),33.95,29.25
NHPC LTD.,31.85,0.2,(+0.63%),32.55,31.55
FIRSTSOURCE SOLUTION,40.45,0.25,(+0.62%),41.7,40.25
RELIANCE POWER,44.9,0.35,(+0.79%),46.65,44.1
RELIANCE DEFENCE,48.45,1.2,(+2.54%),49.1,46.65
DB REALTY,52.45,0.5,(+0.96%),54.7,51.1
HCL INFOSYSTEMS,57.65,1.15,(+2.04%),58.6,56.15
HDIL,59.1,1.95,(+3.41%),59.8,57.2
TV18 BROADCAST,61.15,0.6,(+0.99%),61.15,59.3
IDFC LTD.,62.75,1,(+1.62%),63.55,61.4
BHUSHAN STEEL,65.35,2.75,(+4.39%),67.5,62.75
NATIONAL FERTILIZERS,69.25,1.2,(+1.76%),71.45,67.85
RELIGARE ENTERPRISES,69.9,0.45,(+0.65%),71.4,69.3
MMTC LTD.,75.1,1.65,(+2.25%),77.25,73.9
J & K BANK,79,1.2,(+1.54%),79.3,77.5
DISH TV INDIA,81.55,1.45,(+1.81%),81.9,80.1
HOUSING & URBAN DEVELOPMENT CORPORA,82.7,1.1,(+1.35%),83.4,81.3
IL&FS TRANSPORTATION,83.55,1.4,(+1.70%),85.8,82.5
NATIONAL ALUMINIUM,86.45,5.05,(+6.20%),87.35,82.35
