Company,Last Price,%chg,Traded Val,Volume
,,,,
RELIANCE COMM.,36.22,+16.99%,"2,789.57cr",76.24cr
INFIBEAM,141.35,-14.15%,"1,600.93cr",12.29cr
JAIPRAKASH ASSOCIATE,26.00,+12.07%,839.63cr,32.74cr
RELIANCE,921.05,-0.36%,552.95cr,59.83lk
HDIL,65.50,+10.83%,543.94cr,8.44cr
MARUTI SUZUKI,9731.35,+1.05%,520.25cr,5.35lk
AXIS BANK,562.40,+2.74%,480.07cr,86.09lk
GMR INFRASTRUCTURE,22.45,+10.86%,445.75cr,20.49cr
SBI,309.50,+0.39%,445.01cr,1.43cr
DREDGING CORPORATION,853.35,+7.73%,439.71cr,51.25lk
RELIANCE INFRA.,553.75,-0.26%,409.21cr,73.26lk
TATA MOTORS,431.20,+3.06%,392.81cr,91.93lk
DLF LTD.,259.35,-1.69%,391.54cr,1.50cr
HDFC,1710.40,+0.94%,382.39cr,22.42lk
TCS,2700.40,+2.72%,374.42cr,13.98lk
BHARTI AIRTEL,530.00,-0.20%,370.53cr,69.72lk
JET AIRWAYS (INDIA),831.30,+1.74%,365.10cr,44.02lk
INFOSYS,1039.30,+0.51%,362.85cr,34.85lk
WOCKHARDT,930.50,+2.03%,336.69cr,36.01lk
SUN PHARMA,570.80,+0.51%,331.17cr,57.89lk
ICICI BANK,314.00,-0.08%,314.16cr,99.98lk
HDFC BANK,1871.00,-0.19%,303.50cr,16.20lk
IDEA CELLULAR,108.20,+5.87%,269.44cr,2.53cr
RELIANCE POWER,50.25,+11.92%,268.74cr,5.49cr
VEDANTA,329.75,-0.83%,266.53cr,80.66lk
LUPIN,884.65,+0.43%,256.03cr,28.78lk
L&T,1256.95,+0.30%,240.66cr,19.13lk
IFCI LTD.,30.90,+8.04%,233.80cr,7.38cr
TATA GLOBAL BEVERAGE,315.55,+2.92%,228.88cr,72.90lk
TATA STEEL,732.45,-0.30%,222.03cr,30.13lk
BF UTILITIES,506.10,+6.96%,209.41cr,41.69lk
GAIL (INDIA),500.10,-2.08%,208.68cr,41.52lk
UNITECH,9.64,+18.14%,206.94cr,22.77cr
ESCORTS,787.20,+1.92%,202.63cr,25.83lk
INDIAN OIL CORP.,388.40,-0.98%,199.58cr,51.25lk
PUNJAB NATIONAL BANK,171.50,+0.47%,185.14cr,1.08cr
ITC LTD.,263.10,+0.69%,182.69cr,69.40lk
JAIN IRRIGATION,125.80,-1.91%,177.71cr,1.39cr
POWER GRID,200.35,+0.68%,170.48cr,85.12lk
JUBILANT FOODWORKS,1752.00,+2.32%,166.38cr,9.49lk
EDELWEISS FIN. SER.,297.30,+1.68%,164.76cr,55.14lk
BHARTI INFRATEL,377.65,+2.62%,161.80cr,42.99lk
HINDALCO,273.70,-0.60%,161.70cr,59.25lk
M&M,751.05,+0.10%,160.08cr,21.40lk
BANK OF BARODA,160.50,-1.38%,156.95cr,96.97lk
MOTHERSON SUMI,378.80,+1.92%,155.74cr,41.12lk
INDIABULLS REAL,223.20,+0.40%,155.15cr,69.06lk
MANAPPURAM FINANCE,123.30,+1.77%,154.70cr,1.25cr
YES BANK,314.50,+0.32%,153.41cr,48.75lk
RAIN INDUSTRIES,371.00,+2.46%,150.94cr,40.61lk
ADANI PORTS,406.50,+1.94%,148.90cr,36.93lk
JSW ENERGY,92.30,+3.53%,143.03cr,1.58cr
NTPC LTD.,177.20,+0.83%,142.21cr,80.30lk
HCL TECH,893.00,+1.69%,140.43cr,15.76lk
AVENUE SUPERMARTS,1180.00,+2.97%,139.65cr,11.87lk
BIOCON,537.25,-0.55%,139.31cr,25.87lk
TATA ELXSI,976.65,+3.38%,137.87cr,14.18lk
JINDAL STEEL & POWER,204.95,+1.36%,136.03cr,66.72lk
AARTI INDUSTRIES,1137.90,+6.48%,132.28cr,11.69lk
ASIAN PAINTS,1157.90,+1.16%,131.06cr,11.26lk
HAVELLS INDIA,562.15,+2.28%,130.50cr,23.14lk
HINDUSTAN PETROLEUM,416.30,-1.25%,126.18cr,30.15lk
HUL,1368.10,+0.79%,125.23cr,9.16lk
WIPRO,313.40,+1.90%,124.99cr,40.28lk
INDUSIND BANK,1649.10,-0.05%,123.41cr,7.47lk
KOTAK MAH. BANK,1009.10,+0.45%,122.48cr,12.15lk
ONGC,194.65,+0.85%,121.52cr,62.56lk
DEWAN HOUSING,582.85,-0.66%,119.17cr,20.38lk
TATA SPONGE IRON,985.00,+4.28%,118.30cr,11.98lk
BOMBAY BURMAH,1699.80,+4.76%,116.11cr,6.81lk
INDIABULLS HOUSING,1194.75,-0.33%,115.98cr,9.68lk
FORTIS HEALTHCARE,160.30,-1.02%,115.45cr,71.01lk
TITAN COMPANY,856.00,+0.42%,109.78cr,12.80lk
SAIL,92.15,-0.65%,109.40cr,1.18cr
SUZLON ENERGY,15.54,+2.98%,109.33cr,7.08cr
HERO MOTOCORP,3802.00,+2.38%,108.91cr,2.89lk
HINDUSTAN COPPER,100.90,-1.61%,108.57cr,1.06cr
AUROBINDO PHAR.,687.00,+0.34%,104.44cr,15.19lk
BEML LTD.,1617.65,+1.85%,103.99cr,6.42lk
BHARAT ELECTRONICS,182.00,+0.47%,103.01cr,56.30lk
UNITED SPIRITS,3671.15,+1.03%,101.11cr,2.77lk
ASHOK LEYLAND,119.25,+1.27%,100.60cr,84.94lk
PETRONET LNG,254.50,+1.50%,98.49cr,38.77lk
BOMBAY DYEING,277.50,+0.05%,98.46cr,35.05lk
BERGER PAINTS INDIA,271.00,+4.05%,97.54cr,36.13lk
TATA POWER,93.85,+1.68%,96.70cr,1.03cr
BHARAT FINANCIAL INCLUSION,995.20,+0.15%,93.96cr,9.42lk
BPCL,518.70,-1.16%,87.18cr,16.74lk
DR. REDDYS LABS,2414.40,-0.71%,86.72cr,3.58lk
SHRIRAM TRANSPORT,1480.15,+1.57%,85.59cr,5.78lk
BAJAJ FINANCE,1756.80,+0.12%,85.53cr,4.87lk
MRF LTD.,72348.15,-1.58%,84.54cr,11.59k
NATIONAL ALUMINIUM,85.95,-0.58%,81.99cr,94.61lk
CEAT LTD.,1950.70,+0.11%,81.88cr,4.20lk
COAL INDIA,263.00,+0.02%,80.41cr,30.56lk
UPL LTD.,761.50,-0.42%,80.26cr,10.52lk
APOLLO TYRES,268.05,-0.19%,79.70cr,29.74lk
VAKRANGEE,421.00,+1.54%,79.69cr,18.99lk
RCF,96.30,+0.26%,79.56cr,82.02lk
KPIT TECHNOLOGIES,180.40,+4.01%,77.90cr,43.56lk
ADANI ENTERPRISES,166.35,+0.73%,77.56cr,46.67lk
ULTRATECH CEM,4320.80,+1.04%,76.25cr,1.77lk
HIND CONSTRUCTIONS,40.95,+0.86%,75.68cr,1.84cr
TECH MAHINDRA,505.00,+1.31%,74.74cr,14.90lk
SRF LTD.,1984.10,+2.05%,72.98cr,3.68lk
JUBILANT LIFESCIENCE,788.05,+2.27%,72.62cr,9.18lk
LIC HOUSING FINANCE,564.80,+0.56%,72.37cr,12.83lk
INDRAPRASTHA GAS,334.95,+1.89%,71.93cr,21.64lk
NHPC LTD.,32.65,+2.51%,71.53cr,2.19cr
L&T FIN. HOLDINGS,173.80,-0.03%,71.01cr,40.88lk
TORRENT POWER,282.55,+4.22%,70.42cr,25.16lk
GODREJ CONSUMER,999.00,+1.77%,70.40cr,7.05lk
EICHER MOTORS,30288.05,+1.12%,70.35cr,23.31k
GLENMARK PHARMA,595.05,+0.37%,68.64cr,11.49lk
SUN TV NETWORK,988.50,-1.20%,68.24cr,6.86lk
VOLTAS,655.70,+0.08%,67.91cr,10.25lk
JAIPRAKASH POWER,9.52,+19.90%,67.80cr,7.40cr
DELTA CORP,307.70,+0.97%,67.35cr,21.76lk
BRITANNIA IND.,4676.60,+0.03%,65.81cr,1.40lk
ADANI POWER,41.65,+2.33%,64.49cr,1.56cr
GNFC,494.05,+0.50%,64.10cr,12.85lk
POWER FINANCE CORP.,121.55,+1.33%,63.79cr,52.45lk
NBCC,246.75,-0.28%,60.18cr,24.27lk
CENTURY TEXTILES,1430.00,+0.33%,59.76cr,4.15lk
JUST DIAL,521.85,-0.25%,59.30cr,11.34lk
BAJAJ FINSERV,5238.40,-1.39%,59.30cr,1.13lk
BALKRISHNA IND.,1196.55,+0.14%,59.10cr,4.93lk
IDFC LTD.,62.95,+0.32%,59.04cr,93.60lk
REC,155.65,+0.55%,58.91cr,37.83lk
BHEL,92.60,+0.43%,58.86cr,63.38lk
ZEE,585.75,-0.20%,58.79cr,10.10lk
NATIONAL FERTILIZERS,73.55,+6.21%,58.65cr,80.47lk
BAJAJ AUTO,3325.00,+0.71%,58.49cr,1.76lk
JM FINANCIAL,156.85,+4.25%,58.13cr,36.76lk
DIVIS LABORATORIES,1098.20,-1.44%,57.71cr,5.20lk
GSFC,156.10,+2.70%,57.61cr,37.04lk
THE INDIA CEMENTS,182.60,+1.53%,57.21cr,31.42lk
JSW STEEL,269.70,-0.57%,57.20cr,21.21lk
