Company,Last Price,chg,%chg,Day High,Day Low
,,,,,
JAIPRAKASH POWER,9.52,+1.58,(+19.90%),9.52,8.31
UNITECH,9.64,+1.48,(+18.14%),9.79,8.20
RELIANCE COMM.,36.22,+5.26,(+16.99%),41.77,34.05
JAIPRAKASH ASSOCIATE,26.00,+2.80,(+12.07%),27.25,23.35
RELIANCE POWER,50.25,+5.35,(+11.92%),51.35,45.05
GMR INFRASTRUCTURE,22.45,+2.20,(+10.86%),22.80,20.70
HDIL,65.50,+6.40,(+10.83%),66.60,59.90
DB REALTY,57.65,+5.20,(+9.91%),57.65,52.60
IFCI LTD.,30.90,+2.30,(+8.04%),33.25,29.30
DREDGING CORPORATION,853.35,+61.25,(+7.73%),887.00,810.00
BALLARPUR IND.,18.02,+1.21,(+7.20%),18.40,17.11
BHUSHAN STEEL,70.00,+4.65,(+7.12%),71.00,66.35
BF UTILITIES,506.10,+32.95,(+6.96%),517.00,474.60
AARTI INDUSTRIES,1137.90,+69.25,(+6.48%),1159.90,1084.95
NATIONAL FERTILIZERS,73.55,+4.30,(+6.21%),74.40,69.65
IDEA CELLULAR,108.20,+6.00,(+5.87%),108.60,102.30
BAJAJ HINDUSTHAN,15.35,+0.85,(+5.86%),15.65,14.75
INFO EDGE (INDIA),1381.20,+74.15,(+5.67%),1422.40,1305.00
JOHNSON CONTROLS,2700.00,+141.40,(+5.53%),2700.00,2569.55
BOMBAY BURMAH,1699.80,+77.25,(+4.76%),1756.45,1603.00
SHEELA FOAM,1768.00,+73.00,(+4.31%),1768.45,1695.05
TATA SPONGE IRON,985.00,+40.45,(+4.28%),1000.00,947.95
JM FINANCIAL,156.85,+6.40,(+4.25%),163.70,151.25
TORRENT POWER,282.55,+11.45,(+4.22%),283.60,272.95
VARUN BEVERAGES LTD.,651.35,+25.80,(+4.12%),664.95,636.95
KEC INTERNATIONAL,384.00,+15.15,(+4.11%),391.30,368.85
BERGER PAINTS INDIA,271.00,+10.55,(+4.05%),277.50,262.30
KPIT TECHNOLOGIES,180.40,+6.95,(+4.01%),181.50,172.65
SUPREME INDUSTRIES,1291.10,+49.00,(+3.94%),1301.00,1237.75
THERMAX,1240.00,+46.45,(+3.89%),1240.00,1180.20
HT MEDIA,102.00,+3.80,(+3.87%),103.40,98.15
SHRIRAM CITY UNION,2115.85,+77.00,(+3.78%),2139.00,2001.20
VIDEOCON INDUSTRIES,19.65,+0.70,(+3.69%),19.85,18.20
JSW ENERGY,92.30,+3.15,(+3.53%),92.75,87.85
GUJARAT ALKALIES,744.05,+25.25,(+3.51%),768.80,702.00
INOX LEISURE,291.25,+9.75,(+3.46%),292.85,276.15
LINDE INDIA,533.55,+17.70,(+3.43%),556.90,517.70
WABCO INDIA,7322.00,+240.85,(+3.40%),7371.45,7031.40
TATA ELXSI,976.65,+31.95,(+3.38%),983.90,944.85
KANSAI NEROLAC PAINT,573.05,+18.65,(+3.36%),608.00,542.00
EMAMI,1349.95,+43.25,(+3.31%),1350.00,1285.25
VARDHMAN TEXTILES,1367.55,+42.15,(+3.18%),1399.00,1325.00
PERSISTENT SYSTEMS,718.50,+21.90,(+3.14%),722.10,702.20
TATA MOTORS,431.20,+12.80,(+3.06%),432.50,417.40
SUZLON ENERGY,15.54,+0.45,(+2.98%),15.69,15.14
AVENUE SUPERMARTS,1180.00,+34.05,(+2.97%),1193.90,1150.00
TATA GLOBAL BEVERAGE,315.55,+8.95,(+2.92%),316.50,307.30
TVS SRICHAKRA,3900.10,+109.95,(+2.90%),3938.00,3784.00
KAJARIA CERAMICS,731.00,+20.50,(+2.89%),731.00,713.05
PTC INDIA,118.80,+3.30,(+2.86%),119.45,115.60
GE T&D,443.50,+12.25,(+2.84%),445.20,425.20
AXIS BANK,562.40,+15.00,(+2.74%),566.00,547.40
TCS,2700.40,+71.55,(+2.72%),2711.70,2615.00
GSFC,156.10,+4.10,(+2.70%),157.40,151.50
KPR MILL,805.00,+21.15,(+2.70%),808.95,782.65
